,recv_c_dttm,create_dttm,resolve_dttm,user_resolve_dttm,forced_resolve_dttm,forced_username,recv_r_dttm,region,eid,ne_id,dn,dn_invt,mon_nm,step1,step2,step3,step4,obj,cause,grade,rect_type,rect_type.1,alert_type,alert_id,Y
3848,2021-05-10 06:40:05.577,2021-01-30 01:23:13.000,,,2021-05-14 19:52:33.000,,2021-05-14 19:52:33.000,sb,,982.0,sb/e/cgni01/v/rack02/03/bm/cms0200,sb/e/cgni01/v/rack02/03/bm/cms0200,sbec01cms0200,server,ipmi,sel,hp.ipmi.sel.167,,hw-fault,critical,"uncorrectable machine check exception (processor 1, apic id 0x00000000, bank 0x0000000b, status 0xfe200000'000c110a, address 0x0000006f'7f0a3540, misc 0x00229026'08980086). ",ipmi_api,status,,2

3849,2021-05-10 06:40:05.661,2021-01-30 01:23:13.000,,,2021-05-14 19:52:33.000,,2021-05-14 19:52:33.000,sb,,982.0,sb/e/cgni01/v/rack02/03/bm/cms0200,sb/e/cgni01/v/rack02/03/bm/cms0200,sbec01cms0200,server,ipmi,sel,hp.ipmi.sel.168,,hw-fault,critical,"uncorrectable machine check exception (processor 2, apic id 0x00000040, bank 0x0000000b, status 0xfa200000'002a110a, address 0x0000006f'7f0a3540, misc 0x000009a1'20400086). ",ipmi_api,status,,2

3964,2021-01-30 17:10:44.187,2021-01-30 17:10:44.187,2021-01-30 18:00:04.732,,,,2021-01-30 18:00:04.732,dj,,467.0,dj/c/cgni02/c/rack01/09/bm/nova0102,dj/c/cgni02/c/rack01/09/bm/nova0102,djcc02nova0102,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

4519,2021-02-02 03:25:02.890,2021-02-02 03:24:38.000,,,2021-02-04 08:49:35.000,,2021-02-04 08:49:35.000,dg,,639.0,dg/e/cgni01/c/rack01/22/bm/nov016/0/mem/4,dg/e/cgni01/c/rack01/22/bm/nov016/0/mem/4,deguec01nov016,server,mem,status,hp.ipmi.sel.mem.err.11,DIMM_A4,mem-fault,warning,correctable memory errors detected for dimm_a4.,ipmi_api,status,,2

4766,2021-02-03 02:10:25.751,2021-02-02 17:08:56.000,,,2021-02-16 14:23:11.000,,2021-02-16 14:23:11.000,sj,,1099.0,sj/c/cgni01/c/rack02/03/bm/nova0200,sj/c/cgni01/c/rack02/03/bm/nova0200,sjcc01nova0200,server,ipmi,sel,dell.ipmi.sel.12,,hw-fault,critical,unable to access front led panel because of a hardware error condition.,ipmi_api,status,,1

4824,2021-02-03 02:40:03.487,2021-02-03 01:20:42.000,2021-02-03 01:20:42.000,,,,2021-02-03 02:40:03.487,sj,,1110.0,sj/c/cgni01/c/rack03/15/bm/nova0304,sj/c/cgni01/c/rack03/15/bm/nova0304,sjcc01nova0304,server,ipmi,sel,dell.ipmi.sel.11,,hw-fault,warning,the chassis is closed while the power is off.,ipmi_api,status,,1

4867,2021-02-03 01:35:44.268,2021-02-03 01:35:44.268,2021-02-03 02:40:03.449,,,,2021-02-03 02:40:03.449,sj,,1110.0,sj/c/cgni01/c/rack03/15/bm/nova0304,sj/c/cgni01/c/rack03/15/bm/nova0304,sjcc01nova0304,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

5287,2021-02-03 03:25:05.728,2021-02-03 03:25:05.728,2021-02-03 03:30:03.725,,,,2021-02-03 03:30:03.725,sj,,1110.0,sj/c/cgni01/c/rack03/15/bm/nova0304,sj/c/cgni01/c/rack03/15/bm/nova0304,sjcc01nova0304,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

5313,2021-02-03 03:35:06.510,2021-02-03 03:35:06.510,2021-02-03 03:40:22.948,,,,2021-02-03 03:40:22.948,sj,,1110.0,sj/c/cgni01/c/rack03/15/bm/nova0304,sj/c/cgni01/c/rack03/15/bm/nova0304,sjcc01nova0304,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

5323,2021-02-03 03:50:21.022,2021-02-03 03:50:21.022,2021-02-03 03:55:30.685,,,,2021-02-03 03:55:30.685,sj,,1110.0,sj/c/cgni01/c/rack03/15/bm/nova0304,sj/c/cgni01/c/rack03/15/bm/nova0304,sjcc01nova0304,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

5330,2021-02-03 04:00:12.927,2021-02-03 04:00:12.927,2021-02-03 04:05:33.355,,,,2021-02-03 04:05:33.355,sj,,1110.0,sj/c/cgni01/c/rack03/15/bm/nova0304,sj/c/cgni01/c/rack03/15/bm/nova0304,sjcc01nova0304,server,ipmi,auth,dell.ipmi.auth,,invalid-auth,minor,"invalid ipmi account, id=admin, pw=sa******",ipmi_api,status,,0

5366,2021-02-04 01:55:03.436,2021-02-03 16:40:48.000,2021-02-03 16:40:48.000,,,,2021-02-04 01:55:03.436,dg,,639.0,dg/e/cgni01/c/rack01/22/bm/nov016,dg/e/cgni01/c/rack01/22/bm/nov016,deguec01nov016,server,ipmi,sel,dell.ipmi.sel.13,,hw-fault,warning,the chassis is closed while the power is off.,ipmi_api,status,,1

5397,2021-02-04 01:05:19.807,2021-02-04 01:05:19.807,2021-02-04 01:55:03.408,,,,2021-02-04 01:55:03.408,dg,,639.0,dg/e/cgni01/c/rack01/22/bm/nov016,dg/e/cgni01/c/rack01/22/bm/nov016,deguec01nov016,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

8454,2021-02-05 01:25:27.643,2021-02-05 01:23:10.000,,,2021-02-16 14:23:11.000,,2021-02-16 14:23:11.000,sj,,1746.0,sj/c/cgni01/c/rack01/23/bm/nov016,sj/c/cgni01/c/rack01/23/bm/nov016,sojgcc01nov016,server,ipmi,sel,dell.ipmi.sel.13,,hw-fault,critical,drive 3 is removed from disk drive bay 1.,ipmi_api,status,,2

